County,Headcount_Rate_Percent,Poverty_Gap_Percent,Severity_Percent,Distribution_of_Poor_Percent,Population_Thousands,Number_of_Poor_Thousands
Mombasa,27.6,7.6,3.1,2.1,1189,328
Kwale,41.6,10.8,4.3,2.3,858,357
Kilifi,44.3,12.6,5.2,4.0,1440,638
Tana River,61.7,22.0,10.5,1.2,313,193
Lamu,31.0,7.8,3.1,0.3,138,43
Taita Taveta,34.4,9.5,3.8,0.7,334,115
Garissa,64.7,24.3,12.0,3.4,833,539
Wajir,56.2,17.7,7.8,2.7,774,435
Mandera,69.5,27.6,14.1,3.8,860,598
Marsabit,55.9,17.3,7.5,1.6,446,250
Isiolo,50.1,14.9,6.6,0.8,263,132
Meru,17.2,4.3,1.7,1.7,1533,263
Tharaka-Nithi,18.8,4.0,1.4,0.5,391,74
Embu,21.8,5.1,1.9,0.8,604,132
Kitui,44.4,12.1,4.9,3.2,1129,502
Machakos,22.4,5.5,2.1,2.0,1411,316
Makueni,38.1,10.3,4.1,2.3,976,372
Nyandarua,25.4,6.2,2.4,1.0,634,161
Nyeri,12.8,2.7,1.0,0.6,749,96
Kirinyaga,15.9,3.6,1.4,0.6,605,96
Murang'a,19.7,4.8,1.8,1.3,1052,207
Kiambu,17.8,4.3,1.6,2.7,2399,426
Turkana,81.3,45.4,29.5,4.7,920,748
West Pokot,57.7,18.6,8.3,2.3,618,356
Samburu,71.3,28.9,14.9,1.4,306,218
Trans Nzoia,34.9,9.1,3.5,2.2,984,344
Uasin Gishu,38.8,11.4,4.9,2.8,1149,445
Elgeyo/Marakwet,37.5,10.4,4.2,1.1,453,170
Nandi,35.4,8.8,3.4,2.0,883,313
Baringo,37.8,9.2,3.5,1.6,662,250
Laikipia,30.6,8.2,3.4,1.0,510,156
Nakuru,29.1,7.6,2.9,3.9,2125,617
Narok,19.7,4.7,1.8,1.4,1146,226
Kajiado,39.9,12.1,5.1,2.8,1104,441
Kericho,36.7,10.1,4.1,2.1,897,329
Bomet,42.8,10.6,4.1,2.4,873,374
Kakamega,36.3,9.6,3.8,4.3,1860,676
Vihiga,46.5,13.2,5.5,1.7,587,273
Bungoma,34.9,9.0,3.4,3.7,1663,580
Busia,58.7,19.7,8.9,3.3,887,521
Siaya,23.7,5.5,2.1,1.5,988,234
Kisumu,34.7,9.6,3.9,2.5,1141,396
Homa Bay,29.6,7.4,2.9,2.1,1124,333
Migori,36.3,8.7,3.3,2.5,1107,402
Kisii,41.1,11.4,4.5,3.3,1260,518
Nyamira,34.5,9.2,3.7,1.3,603,208
Nairobi City,10.2,2.2,0.8,2.8,4324,440
